,starttime,Average_Group_HOD_Factor,Criteria,day_of_status
0,00:00:00,0.002970171096741519,Max_AMI_PMI<=1,weekday
1,01:00:00,0.002144505625983031,Max_AMI_PMI<=1,weekday
2,02:00:00,0.001953204821141666,Max_AMI_PMI<=1,weekday
3,03:00:00,0.0018074377514212248,Max_AMI_PMI<=1,weekday
4,04:00:00,0.002083803547654047,Max_AMI_PMI<=1,weekday
5,05:00:00,0.005845439328654627,Max_AMI_PMI<=1,weekday
6,06:00:00,0.015837748955897794,Max_AMI_PMI<=1,weekday
7,07:00:00,0.030452610130974427,Max_AMI_PMI<=1,weekday
8,08:00:00,0.04404502076463107,Max_AMI_PMI<=1,weekday
9,09:00:00,0.06103228682762378,Max_AMI_PMI<=1,weekday
10,10:00:00,0.08575166477232782,Max_AMI_PMI<=1,weekday
11,11:00:00,0.10600371443664336,Max_AMI_PMI<=1,weekday
12,12:00:00,0.10437703404550877,Max_AMI_PMI<=1,weekday
13,13:00:00,0.09733292023841823,Max_AMI_PMI<=1,weekday
14,14:00:00,0.0919378907701207,Max_AMI_PMI<=1,weekday
15,15:00:00,0.08566817711731774,Max_AMI_PMI<=1,weekday
16,16:00:00,0.07782499186376401,Max_AMI_PMI<=1,weekday
17,17:00:00,0.06706625569881719,Max_AMI_PMI<=1,weekday
18,18:00:00,0.04817470469698937,Max_AMI_PMI<=1,weekday
19,19:00:00,0.029629950132742337,Max_AMI_PMI<=1,weekday
20,20:00:00,0.01640274173527782,Max_AMI_PMI<=1,weekday
21,21:00:00,0.010108402840768917,Max_AMI_PMI<=1,weekday
22,22:00:00,0.007080202086041336,Max_AMI_PMI<=1,weekday
23,23:00:00,0.004469120714538135,Max_AMI_PMI<=1,weekday
0,00:00:00,0.004533092904298864,1<Max_AMI_PMI<=2.5,weekday
1,01:00:00,0.0028981585916561152,1<Max_AMI_PMI<=2.5,weekday
2,02:00:00,0.0025005688329119537,1<Max_AMI_PMI<=2.5,weekday
3,03:00:00,0.0028190051197237286,1<Max_AMI_PMI<=2.5,weekday
4,04:00:00,0.006569963977687578,1<Max_AMI_PMI<=2.5,weekday
5,05:00:00,0.012949540579775503,1<Max_AMI_PMI<=2.5,weekday
6,06:00:00,0.03455330402157431,1<Max_AMI_PMI<=2.5,weekday
7,07:00:00,0.06019370603249113,1<Max_AMI_PMI<=2.5,weekday
8,08:00:00,0.07313948459370409,1<Max_AMI_PMI<=2.5,weekday
9,09:00:00,0.07027048653227574,1<Max_AMI_PMI<=2.5,weekday
10,10:00:00,0.0663424047184034,1<Max_AMI_PMI<=2.5,weekday
11,11:00:00,0.06917686712253489,1<Max_AMI_PMI<=2.5,weekday
12,12:00:00,0.07224673245179171,1<Max_AMI_PMI<=2.5,weekday
13,13:00:00,0.06656044861380299,1<Max_AMI_PMI<=2.5,weekday
14,14:00:00,0.0653989546259981,1<Max_AMI_PMI<=2.5,weekday
15,15:00:00,0.07318683424346031,1<Max_AMI_PMI<=2.5,weekday
16,16:00:00,0.07911567387329622,1<Max_AMI_PMI<=2.5,weekday
17,17:00:00,0.08163177012407108,1<Max_AMI_PMI<=2.5,weekday
18,18:00:00,0.06465111452610298,1<Max_AMI_PMI<=2.5,weekday
19,19:00:00,0.03896475575300958,1<Max_AMI_PMI<=2.5,weekday
20,20:00:00,0.021575985973607655,1<Max_AMI_PMI<=2.5,weekday
21,21:00:00,0.01366066665987887,1<Max_AMI_PMI<=2.5,weekday
22,22:00:00,0.010255795962064267,1<Max_AMI_PMI<=2.5,weekday
23,23:00:00,0.006804684165877825,1<Max_AMI_PMI<=2.5,weekday
0,00:00:00,0.005092642071183267,Max_AMI_PMI>2.5,weekday
1,01:00:00,0.0026474595646153558,Max_AMI_PMI>2.5,weekday
2,02:00:00,0.002149765682722671,Max_AMI_PMI>2.5,weekday
3,03:00:00,0.0016533334550313103,Max_AMI_PMI>2.5,weekday
4,04:00:00,0.0024157448986126826,Max_AMI_PMI>2.5,weekday
5,05:00:00,0.009247549251507862,Max_AMI_PMI>2.5,weekday
6,06:00:00,0.03347411403486825,Max_AMI_PMI>2.5,weekday
7,07:00:00,0.07606933036774516,Max_AMI_PMI>2.5,weekday
8,08:00:00,0.11535554029465166,Max_AMI_PMI>2.5,weekday
9,09:00:00,0.08287737165323646,Max_AMI_PMI>2.5,weekday
10,10:00:00,0.04571751979023294,Max_AMI_PMI>2.5,weekday
11,11:00:00,0.03832646316852565,Max_AMI_PMI>2.5,weekday
12,12:00:00,0.038077647207123554,Max_AMI_PMI>2.5,weekday
13,13:00:00,0.03706958262284292,Max_AMI_PMI>2.5,weekday
14,14:00:00,0.04138995657237323,Max_AMI_PMI>2.5,weekday
15,15:00:00,0.050665301390695604,Max_AMI_PMI>2.5,weekday
16,16:00:00,0.07318697096302072,Max_AMI_PMI>2.5,weekday
17,17:00:00,0.11345685948961967,Max_AMI_PMI>2.5,weekday
18,18:00:00,0.09801829789739308,Max_AMI_PMI>2.5,weekday
19,19:00:00,0.05765855006165571,Max_AMI_PMI>2.5,weekday
20,20:00:00,0.03178579699575708,Max_AMI_PMI>2.5,weekday
21,21:00:00,0.02066831170982106,Max_AMI_PMI>2.5,weekday
22,22:00:00,0.014307995225710508,Max_AMI_PMI>2.5,weekday
23,23:00:00,0.008687895631052482,Max_AMI_PMI>2.5,weekday
0,00:00:00,0.012375027400830565,Average_stv_rec_ratio<=0.75,weekend
1,01:00:00,0.007436088434055291,Average_stv_rec_ratio<=0.75,weekend
2,02:00:00,0.005741397239494874,Average_stv_rec_ratio<=0.75,weekend
3,03:00:00,0.004019576241974226,Average_stv_rec_ratio<=0.75,weekend
4,04:00:00,0.0037639591985740486,Average_stv_rec_ratio<=0.75,weekend
5,05:00:00,0.005399949779358571,Average_stv_rec_ratio<=0.75,weekend
6,06:00:00,0.011420148689048027,Average_stv_rec_ratio<=0.75,weekend
7,07:00:00,0.023701311491763504,Average_stv_rec_ratio<=0.75,weekend
8,08:00:00,0.04241822697906429,Average_stv_rec_ratio<=0.75,weekend
9,09:00:00,0.05960765624755499,Average_stv_rec_ratio<=0.75,weekend
10,10:00:00,0.0763161675563961,Average_stv_rec_ratio<=0.75,weekend
11,11:00:00,0.08581489090669055,Average_stv_rec_ratio<=0.75,weekend
12,12:00:00,0.08968493889697307,Average_stv_rec_ratio<=0.75,weekend
13,13:00:00,0.08944097748848528,Average_stv_rec_ratio<=0.75,weekend
14,14:00:00,0.08746582661303676,Average_stv_rec_ratio<=0.75,weekend
15,15:00:00,0.08653874873367387,Average_stv_rec_ratio<=0.75,weekend
16,16:00:00,0.08025306929618067,Average_stv_rec_ratio<=0.75,weekend
17,17:00:00,0.06715316213558925,Average_stv_rec_ratio<=0.75,weekend
18,18:00:00,0.05350016240121379,Average_stv_rec_ratio<=0.75,weekend
19,19:00:00,0.036751532863181224,Average_stv_rec_ratio<=0.75,weekend
20,20:00:00,0.024591715659543423,Average_stv_rec_ratio<=0.75,weekend
21,21:00:00,0.018742407060412525,Average_stv_rec_ratio<=0.75,weekend
22,22:00:00,0.015777913521805655,Average_stv_rec_ratio<=0.75,weekend
23,23:00:00,0.012085145165098357,Average_stv_rec_ratio<=0.75,weekend
0,00:00:00,0.004161286693822531,Average_stv_rec_ratio>0.75,weekend
1,01:00:00,0.0031174482824915047,Average_stv_rec_ratio>0.75,weekend
2,02:00:00,0.0025048738591904084,Average_stv_rec_ratio>0.75,weekend
3,03:00:00,0.0017707380037613844,Average_stv_rec_ratio>0.75,weekend
4,04:00:00,0.00248416290768806,Average_stv_rec_ratio>0.75,weekend
5,05:00:00,0.004398165683066998,Average_stv_rec_ratio>0.75,weekend
6,06:00:00,0.01323746493403554,Average_stv_rec_ratio>0.75,weekend
7,07:00:00,0.03761694798788648,Average_stv_rec_ratio>0.75,weekend
8,08:00:00,0.07120995497688874,Average_stv_rec_ratio>0.75,weekend
9,09:00:00,0.09155319776084499,Average_stv_rec_ratio>0.75,weekend
10,10:00:00,0.10323454815961043,Average_stv_rec_ratio>0.75,weekend
11,11:00:00,0.10975928360022466,Average_stv_rec_ratio>0.75,weekend
12,12:00:00,0.10188632047862801,Average_stv_rec_ratio>0.75,weekend
13,13:00:00,0.09152236200366938,Average_stv_rec_ratio>0.75,weekend
14,14:00:00,0.08344719845335388,Average_stv_rec_ratio>0.75,weekend
15,15:00:00,0.07776438509393364,Average_stv_rec_ratio>0.75,weekend
16,16:00:00,0.06676965034167553,Average_stv_rec_ratio>0.75,weekend
17,17:00:00,0.0491470664465293,Average_stv_rec_ratio>0.75,weekend
18,18:00:00,0.033610624135154366,Average_stv_rec_ratio>0.75,weekend
19,19:00:00,0.020503610599952003,Average_stv_rec_ratio>0.75,weekend
20,20:00:00,0.011671595915988202,Average_stv_rec_ratio>0.75,weekend
21,21:00:00,0.00764093878463524,Average_stv_rec_ratio>0.75,weekend
22,22:00:00,0.006104002120800731,Average_stv_rec_ratio>0.75,weekend
23,23:00:00,0.004884172776166893,Average_stv_rec_ratio>0.75,weekend
